imię i nazwisko,ban_1e,pun_1e,sam_1e,ska_1e,sko_1e,suma1,lot*_2e,ban_2e,sum_2e,kos_2e,sza_2e,suma2,dzi*_3e,akc_3e,dwa_3e,dwu_3e,aut_3e,lus_3e,pra_3e,suma3
- -,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Adam Blokus,100.0,50.0,99.0,100.0,0.0,349.0,100.0,32.0,100.0,16.0,30.0,178.0,60.0,0.0,0.0,7.0,100.0,0.0,100.0,207.0
Adam Cellary,62.0,10.0,10.0,100.0,100.0,282.0,,,,,,,,,,,,,,
Adam Choma,31.0,0.0,100.0,100.0,100.0,331.0,80.0,82.0,40.0,57.0,20.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Czachorowski,100.0,30.0,94.0,100.0,100.0,424.0,,,,,,,,,,,,,,
Adam Gawarkiewicz,100.0,100.0,100.0,100.0,90.0,490.0,100.0,53.0,30.0,93.0,58.0,234.0,100.0,100.0,10.0,100.0,100.0,0.0,78.0,388.0
Adam Radziwonczyk-Syta,100.0,90.0,100.0,100.0,100.0,490.0,100.0,100.0,100.0,58.0,50.0,308.0,20.0,53.0,5.0,53.0,100.0,0.0,82.0,293.0
Adam Rutkowski,100.0,40.0,100.0,100.0,100.0,440.0,,,,,,,,,,,,,,
Adam Wojdecki,100.0,100.0,90.0,100.0,100.0,490.0,,,,,,,,,,,,,,
Adrian Galewski,81.0,63.0,100.0,100.0,100.0,444.0,30.0,46.0,20.0,100.0,45.0,211.0,0.0,0.0,0.0,14.0,100.0,0.0,0.0,114.0
Adrian Mikolajewicz,73.0,30.0,70.0,100.0,100.0,373.0,,,,,,,,,,,,,,
Agata Murawska,100.0,10.0,100.0,100.0,30.0,340.0,,,,,,,,,,,,,,
Albert Lacki,18.0,0.0,58.0,100.0,100.0,276.0,,,,,,,,,,,,,,
Andrzej Grzywocz,100.0,90.0,100.0,100.0,100.0,490.0,94.0,100.0,50.0,23.0,20.0,193.0,90.0,0.0,5.0,100.0,100.0,0.0,13.0,218.0
Andrzej Palejko,86.0,0.0,100.0,100.0,100.0,386.0,,,,,,,,,,,,,,
Andrzej Pragacz,0.0,72.0,60.0,100.0,90.0,322.0,,,,,,,,,,,,,,
Andrzej Redlarski,100.0,50.0,40.0,100.0,0.0,290.0,,,,,,,,,,,,,,
Andrzej Skalski,0.0,0.0,60.0,100.0,100.0,260.0,,,,,,,,,,,,,,
Anna Pawelczyk,12.0,0.0,100.0,100.0,100.0,312.0,,,,,,,,,,,,,,
Anna Szczerbinska,100.0,0.0,51.0,100.0,0.0,251.0,,,,,,,,,,,,,,
Armen Artwich,100.0,20.0,100.0,100.0,100.0,420.0,,,,,,,,,,,,,,
Artur Koninski,100.0,100.0,100.0,100.0,100.0,500.0,10.0,88.0,40.0,0.0,60.0,188.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,200.0
Artur Nowak,24.0,0.0,100.0,100.0,100.0,324.0,,,,,,,,,,,,,,
Bartlomiej Pfajfer,100.0,0.0,80.0,100.0,0.0,280.0,,,,,,,,,,,,,,
Bartlomiej Wolowiec,100.0,80.0,100.0,100.0,100.0,480.0,0.0,100.0,40.0,86.0,71.0,297.0,20.0,0.0,5.0,0.0,50.0,0.0,73.0,128.0
Bartlomiej Zommer,100.0,70.0,100.0,100.0,100.0,470.0,,,,,,,,,,,,,,
