imię i nazwisko,hyd_1e,kor_1e,nad_1e,nim_1e,par_1e,suma1,swi*_2e,dro_2e,zaj_2e,ark_2e,wca_2e,suma2,row*_3e,pos_3e,pra_3e,zyw_3e,klu_3e,nie_3e,par_3e,suma3
Adam Furtak,0.0,50.0,0.0,19.0,78.0,147.0,,,,,,,,,,,,,,
Adam Kapica,0.0,4.0,0.0,10.0,100.0,114.0,,,,,,,,,,,,,,
Adam Klukowski,11.0,0.0,100.0,0.0,33.0,144.0,,,,,,,,,,,,,,
Adam Pardyl,0.0,96.0,15.0,0.0,100.0,211.0,0.0,15.0,38.0,25.0,10.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Pawelek,0.0,50.0,0.0,28.0,0.0,78.0,,,,,,,,,,,,,,
Adam Pawlowski,0.0,4.0,15.0,10.0,100.0,129.0,42.0,28.0,30.0,25.0,10.0,93.0,35.0,0.0,30.0,100.0,38.0,0.0,100.0,268.0
Adrian Jelen,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,
Agnieszka Dudek,0.0,99.0,76.0,0.0,94.0,269.0,0.0,28.0,100.0,25.0,10.0,163.0,100.0,32.0,100.0,0.0,38.0,0.0,100.0,270.0
Agnieszka Pawicka,0.0,2.0,0.0,0.0,94.0,96.0,,,,,,,,,,,,,,
Aleksander Figiel,0.0,0.0,0.0,0.0,66.0,66.0,,,,,,,,,,,,,,
Aleksander Kleinszmidt,0.0,68.0,0.0,0.0,22.0,90.0,,,,,,,,,,,,,,
Aleksandra Ksiezny,0.0,4.0,0.0,10.0,100.0,114.0,,,,,,,,,,,,,,
Alicja Chaszczewicz,0.0,100.0,0.0,100.0,100.0,300.0,100.0,57.0,20.0,0.0,10.0,87.0,100.0,21.0,100.0,0.0,5.0,0.0,100.0,226.0
Anadi Agrawal,0.0,75.0,15.0,100.0,66.0,256.0,65.0,28.0,44.0,25.0,100.0,197.0,100.0,32.0,100.0,100.0,33.0,10.0,100.0,375.0
Andrzej Swatowski,0.0,2.0,100.0,10.0,100.0,212.0,,,,,,,,,,,,,,
Anna Bialokozowicz,21.0,100.0,35.0,100.0,78.0,334.0,0.0,28.0,72.0,0.0,20.0,120.0,100.0,21.0,100.0,100.0,45.0,0.0,100.0,366.0
Anna Urbala,0.0,32.0,0.0,10.0,66.0,108.0,,,,,,,,,,,,,,
Antek Burski,0.0,17.0,13.0,10.0,100.0,140.0,,,,,,,,,,,,,,
Arkadiusz Placha,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,
Artur Blaszkiewicz,0.0,0.0,100.0,0.0,94.0,194.0,,,,,,,,,,,,,,
Artur Puzio,0.0,22.0,15.0,10.0,100.0,147.0,50.0,100.0,30.0,25.0,67.0,222.0,100.0,0.0,14.0,100.0,11.0,20.0,100.0,245.0
Artur Strzalkowski,0.0,96.0,0.0,91.0,78.0,265.0,,,,,,,,,,,,,,
Bartlomiej Karasek,0.0,80.0,100.0,0.0,73.0,253.0,50.0,100.0,100.0,0.0,10.0,210.0,100.0,91.0,100.0,100.0,38.0,90.0,100.0,519.0
Bartlomiej Kawula,0.0,67.0,0.0,0.0,100.0,167.0,,,,,,,,,,,,,,
Bartlomiej Wrona,100.0,70.0,100.0,80.0,100.0,450.0,100.0,28.0,30.0,39.0,10.0,107.0,5.0,19.0,100.0,0.0,0.0,0.0,92.0,211.0
Bartosz Dzieciol,21.0,0.0,0.0,80.0,0.0,101.0,,,,,,,,,,,,,,
Bartosz Pieszko,21.0,90.0,100.0,39.0,100.0,350.0,,,,,,,,,,,,,,
Bartosz Podkanowicz,0.0,94.0,100.0,71.0,100.0,365.0,50.0,57.0,30.0,0.0,10.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bartosz Rudzki,0.0,100.0,100.0,100.0,100.0,400.0,50.0,57.0,20.0,50.0,10.0,137.0,100.0,20.0,25.0,25.0,44.0,0.0,100.0,214.0
Cezary Bednarz,0.0,0.0,68.0,91.0,66.0,225.0,,,,,,,,,,,,,,
Cyryl Waskiewicz,0.0,0.0,0.0,91.0,39.0,130.0,50.0,0.0,0.0,25.0,100.0,125.0,65.0,0.0,100.0,52.0,32.0,20.0,100.0,304.0
Damian Bialas,0.0,50.0,100.0,0.0,100.0,250.0,,,,,,,,,,,,,,
Damian Burczyk,0.0,70.0,0.0,0.0,94.0,164.0,,,,,,,,,,,,,,
Damian Chanko,0.0,50.0,0.0,0.0,100.0,150.0,,,,,,,,,,,,,,
Damian Werpachowski,0.0,85.0,15.0,68.0,44.0,212.0,,,,,,,,,,,,,,
Daniel Klimowicz,0.0,50.0,0.0,0.0,100.0,150.0,,,,,,,,,,,,,,
Dawid Herman,0.0,70.0,0.0,5.0,0.0,75.0,,,,,,,,,,,,,,
Dawid Jamka,0.0,4.0,0.0,0.0,66.0,70.0,,,,,,,,,,,,,,
Dominik Hoim,0.0,50.0,92.0,0.0,78.0,220.0,,,,,,,,,,,,,,
Dominik Korzatkowski,0.0,50.0,0.0,0.0,100.0,150.0,,,,,,,,,,,,,,
Eryk Kijewski,0.0,100.0,0.0,0.0,100.0,200.0,,,,,,,,,,,,,,
Filip Komorowski,0.0,0.0,0.0,10.0,66.0,76.0,,,,,,,,,,,,,,
Filip Rydzynski,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,
Franciszek Budrowski,100.0,95.0,100.0,91.0,100.0,486.0,50.0,100.0,100.0,0.0,89.0,289.0,100.0,62.0,100.0,100.0,0.0,100.0,100.0,462.0
Franciszek Jelowicki,0.0,0.0,0.0,0.0,91.0,91.0,,,,,,,,,,,,,,
Fryderyk Sucharczuk,0.0,35.0,0.0,5.0,100.0,140.0,,,,,,,,,,,,,,
Gerard Drozdz,0.0,0.0,0.0,0.0,66.0,66.0,,,,,,,,,,,,,,
Grzegorz Chrzanowski,0.0,54.0,0.0,10.0,100.0,164.0,,,,,,,,,,,,,,
Grzegorz Eugeniusz Uriasz,0.0,5.0,15.0,10.0,100.0,130.0,50.0,57.0,0.0,37.0,10.0,104.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,200.0
Grzegorz Klocek,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,
Hubert Budzynski,0.0,30.0,0.0,64.0,100.0,194.0,,,,,,,,,,,,,,
Hubert Nastaly,0.0,0.0,0.0,0.0,66.0,66.0,,,,,,,,,,,,,,
Igor Dolecki,0.0,48.0,100.0,0.0,100.0,248.0,50.0,28.0,30.0,25.0,62.0,145.0,100.0,0.0,15.0,100.0,16.0,20.0,100.0,251.0
Iwona Kotlarska,0.0,55.0,15.0,10.0,100.0,180.0,50.0,28.0,30.0,25.0,10.0,93.0,35.0,32.0,0.0,100.0,5.0,0.0,100.0,237.0
Jacek Kurek,0.0,81.0,0.0,0.0,100.0,181.0,,,,,,,,,,,,,,
Jacek Leja,0.0,0.0,0.0,10.0,100.0,110.0,,,,,,,,,,,,,,
Jakub Bartminski,21.0,0.0,100.0,10.0,94.0,225.0,50.0,28.0,72.0,25.0,10.0,135.0,0.0,0.0,15.0,100.0,38.0,20.0,100.0,273.0
Jakub Boguta,30.0,70.0,0.0,100.0,100.0,300.0,100.0,100.0,100.0,50.0,0.0,250.0,100.0,100.0,100.0,100.0,16.0,0.0,100.0,416.0
Jakub Buziewicz,0.0,90.0,0.0,19.0,100.0,209.0,50.0,57.0,20.0,25.0,10.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jakub Kolton,0.0,50.0,0.0,19.0,100.0,169.0,,,,,,,,,,,,,,
